# character	reading	attested
㐀	qiū	qiū
㐁	tiàn	tiàn
㐄	kuà	kuà
㐅	wǔ	wǔ
㐆	yǐn	yǐn
㐌	yí	yí
㐖	xié	xié
㐜	chóu	chóu
㐡	nuò	nuò
㐤	dān	dān|qiú
㐨	xù	xù
㐩	xíng	xíng
㐫	xiōng	xiōng
㐬	liú	liú
㐭	lǐn	lǐn
㐮	xiāng	xiāng
㐯	yōng	yōng
㐰	xìn	xìn
㐱	zhěn	zhěn
㐲	dài	dài
㐳	wù	wù
㐴	pān	pān
㐵	rú	rú
㐷	mǎ	mǎ
㐸	qiàn	cì|qiàn
㐹	yì	yì
㐺	yín	yín|zhòng
㐻	nèi	nèi
㐼	chèng	chèng
㐽	fēng	fēng
㑁	zhuō	zhuō
㑂	fǎng	fǎng
㑃	ǎo	ǎo
㑄	wǔ	wǔ
㑅	zuò	zuò
㑇	zhòu	zhòu
㑈	dòng	dòng
㑉	sù	sù
㑊	yì	yì
㑋	qióng	qióng
㑌	kuāng	kuāng|wāng
㑍	lèi	lèi
㑎	nǎo	nǎo
㑏	zhù	zhù
㑐	shū	shū
㑔	xǔ	xǔ
㑗	shēn	shēn
㑘	jiè	jiè
㑙	dié	dié
㑚	nuó	nuó
㑛	sù	sù
㑜	yì	chì|yì
㑝	lòng	lòng
㑞	yìng	yìng
㑟	běng	běng
㑣	lán	lán
㑤	miáo	miáo
㑥	yì	yì
㑦	lì	lì
㑧	jì	jì
㑨	yǔ	yǔ
㑩	luó	luó
㑪	chái	chái
㑮	hún	hún
㑯	xǔ	xǔ
㑰	huì	huì
㑱	rǎo	rǎo
㑳	zhòu	zhòu|zhū
㑵	hàn	hàn
㑶	xì	xì
㑷	tài	tài
㑸	yáo	yáo
㑹	huì	huì
㑺	jùn	jùn
㑻	mà	mà
㑼	lüè	lüè
㑽	táng	táng
㑾	yáo	yáo
㑿	zhào	zhào
㒀	zhāi	zhāi|zhǎ
㒁	yǔ	yǔ
㒂	zhuó	zhuó
㒃	èr	èr
㒄	rǎn	rǎn
㒅	qǐ	qǐ
㒆	chì	chì
㒇	wǔ	wǔ
㒈	hàn	hàn
㒉	tǎng	tǎng
㒊	sè	sè
㒋	sī	sī
㒌	qióng	qióng
㒍	léi	léi
㒎	sà	sà
㒑	kuǐ	huì|kuǐ
㒒	pú	pú
㒓	tà	tà
㒔	shú	dú|shú|tù
㒕	yāng	yāng
㒖	ǒu	ǒu
㒗	tái	tái
㒙	mián	mián
㒚	yìn	wěn|yìn
㒛	diào	diào
㒜	yǔ	yǔ
㒝	miè	miè|wà
㒞	jùn	jùn
㒟	niǎo	niǎo
㒠	xiè	xiè
㒡	yóu	yóu
㒤	chè	chè
㒥	fēng	fēng
㒦	lěi	lèi|lěi
㒧	lì	lì
㒩	luǒ	luǒ
㒫	jì	jì
㒰	quán	quán
㒲	cái	cái
㒳	liǎng	liǎng
㒴	gǔ	gǔ
㒵	mào	mào
㒷	guǎ	guǎ
㒸	suì	suì
㒻	mào	mào
㒼	mán	mán
㒽	quān	quān
㒾	shì	shì
㒿	lí	lí
㓁	wǎng	wǎng
㓂	kòu	kòu
㓃	dù	dù
㓄	zhèn	zhèn
㓅	tīng	tīng
㓈	bìng	bìng
㓉	huò	huò
㓊	dòng	dòng
㓋	gòng	gòng
㓌	chēng	chēng
㓎	qīn	qìn|qīn|qǐn
㓏	jiǒng	jiǒng
㓐	lù	lù
㓑	xìng	xìng
㓓	nán	nán
㓔	xiè	xiè
㓖	bì	bì
㓗	jié	jié
㓘	sù	sù
㓚	gōng	gōng
㓜	yòu	yòu
㓝	xíng	xíng
㓞	qià	qià
㓟	pí	pí
㓠	diàn	diàn|diǎn
㓡	fǔ	fǔ|guā
㓢	luò	luò
㓣	qià	gē|qià
㓤	qià	qià
㓥	tāng	tāng
㓦	bāi	bāi
㓧	gān	gān
㓨	cí	cí
㓩	xuān	jiē|xuān
㓪	lǎng	lǎng
㓭	shé	shé
㓮	diāo	diāo
㓯	lí	lí
㓰	huà	huà
㓱	tóu	shū|tóu
㓲	piān	piān
㓳	dī	dī
㓴	ruǎn	ruǎn
㓵	è	è
㓶	qiè	qiè
