# form	reading	naive	authority	note
㔾	jié	xiān	cc-cedict	"seal" radical in Chinese characters (Kangxi radical 26)
㺵	jiǔ	jiú	cc-cedict	black jade (variant of 玖[jiu3])
㻬	tú	tū	cc-cedict	a kind of jade
䍃	yáo	yóu	cc-cedict	(archaic) vase; pitcher
䕭	xián	qián	cc-cedict	a kind of vegetable
䠀	chǎng	tāng	cc-cedict	to squat; to sit
丼	dòng	jǐng	cc-cedict	(Tw) bowl of steamed rice with other food on top (loanword from Japanese "donburi")
乇	zhé	tuō	cc-cedict	"blade of grass" component in Chinese characters
乑	zhòng	yín	cc-cedict	to stand side by side/variant of 眾|众[zhong4]
乜	niè	miē	cc-cedict	surname Nie
乪	nāng	náng	cc-cedict	a bend in a river (Cantonese)
亃	lín	lǐn	cc-cedict	mythical animal, said to have yellow body and white tail
仡	yì	gē	cc-cedict	strong/brave
价	jiè	jià	cc-cedict	(literary) messenger; servant
伲	nì	ní	cc-cedict	(dialect) I/my/we/our
伺	sì	cì	cc-cedict	to watch/to wait/to examine/to spy
佛	fó	fú	cc-cedict-buddhist	Buddha; Buddhism (abbr. for 佛陀[Fo2 tuo2])
佣	yòng	yōng	cc-cedict	commission (for middleman)/brokerage fee
佪	huái	huí	cc-cedict	irresolute/to move back and forth
佴	èr	nài	cc-cedict	assistant
俛	miǎn	fǔ	cc-cedict	to exhort
俟	sì	qí	cc-cedict	(literary) to wait for
倔	juè	jué	cc-cedict	gruff; surly
傀	guī	kuǐ	cc-cedict	grand/strange; exotic
傌	mǎ	mà	cc-cedict	(Chinese chess) horse; knight (on the red side)
僂	lǚ	lóu	cc-cedict	crookbacked
働	xx	dòng	cc-cedict	(Japanese kokuji) labor; work
僜	dèng	chēng	cc-cedict	Deng ethnic minority of Tibet
僣	jiàn	tiě	cc-cedict	to overstep one's authority/to usurp
僯	lǐn	lìn	cc-cedict	ashamed
儅	dāng	dàng	cc-cedict	stop
儳	chàn	chán	cc-cedict	irregular/mixed
儽	lěi	léi	cc-cedict	lazy/tired out, worn fatigued
兛	qian1ke4	qiān	cc-cedict	(old) contracted variant of 千克[qian1 ke4]
兝	fen1ke4	fēn	cc-cedict	(old) contracted variant of 分克[fen1 ke4]
兞	hao2ke4	máo	cc-cedict	(old) contracted variant of 毫克[hao2 ke4]
兣	li2ke4	lǐ	cc-cedict	(old) contracted variant of 釐克|厘克[li2 ke4]
凔	cāng	chuàng	cc-cedict	cold
几	jī	jǐ	cc-cedict	small table
凵	kǎn	qiǎn	cc-cedict	receptacle
划	huá	huà	cc-cedict	to row/to paddle/profitable/worth (the effort)/it pays (to do sth)
劄	zhā	zhá	cc-cedict	to prick with a needle
劦	liè	xié	cc-cedict	unending exertion
勣	jì	jī	cc-cedict	merit; accomplishment (variant of 績|绩[ji4])
匙	chí	shi	cc-cedict	spoon
厂	hǎn	chǎng	cc-cedict	"cliff" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc
厎	zhǐ	dǐ	cc-cedict	whetstone
厖	páng	máng	cc-cedict	huge
叶	xié	yè	cc-cedict	to be in harmony
吔	yē	yě	cc-cedict	onomat. for surprise, amazement and sigh
听	yǐn	tīng	cc-cedict	smile (archaic)
呇	qǐ	mèn	cc-cedict	star
呠	pēn	pěn	cc-cedict	to spurt/to blow out/to puff out/to snort
呴	xū	xǔ	cc-cedict	breathe on/yawn/roar
呿	qū	qù	cc-cedict	to yawn
咁	gān	hán	cc-cedict	so (Cantonese)/Mandarin equivalent: 這樣|这样[zhe4 yang4]
咔	kǎ	kā	cc-cedict	(used as phonetic "ka")
咗	zuǒ	zuo	cc-cedict	Cantonese particle equivalent to 了[le5] or 過|过[guo4]
哋	dì	diè	cc-cedict	(Cant.) plural for pronouns
唶	jiè	zé	cc-cedict	sigh/groan/loud laughter
唹	yú	yū	cc-cedict	to smile at
唻	lai	lài	cc-cedict	(dialect) modal particle similar to 呢[ne5], 啦[la5] or 來著|来着[lai2 zhe5]
唼	shǎ	shà	cc-cedict	to speak evil/gobbling sound made by ducks
啁	zhōu	zhāo	cc-cedict	twittering of birds
啅	zhào	zhuó	cc-cedict	chirp
啜	chuò	chuài	cc-cedict	(literary) to drink/to sip/to sob
啱	yān	yán	cc-cedict	correct/suitable/to suit sb/just now (Cantonese)
喣	xǔ	xù	cc-cedict	to breathe upon
喺	xǐ	xí	cc-cedict	to be at, in or on (Cantonese)/Mandarin equivalent: 在[zai4]
喼	jié	jiē	cc-cedict	box (dialect)/used to transliterate words with sounds kip-, cap- etc
喿	sào	zào	cc-cedict	chirping of birds
嗀	huò	hù	cc-cedict	to vomit
嗊	gòng	hǒng	cc-cedict	used for transcription in 嗊吥|唝吥[Gong4 bu4]
